time_period,time_identifier,geographic_level,country_code,country_name,social_care_group,t_pupils,t_no_identified_SEN,pt_no_identified_SEN,t_all_SEN,pt_all_SEN,t_SEN_support,pt_SEN_support,t_statement_or_EHC_plan,pt_statement_or_EHC_plan,t_ASD_ss,pt_ASD_ss,t_HI_ss,pt_HI_ss,t_MLD_ss,pt_MLD_ss,t_MSI_ss,pt_MSI_ss,t_NSA_ss,pt_NSA_ss,t_OTH_ss,pt_OTH_ss,t_PD_ss,pt_PD_ss,t_PMLD_ss,pt_PMLD_ss,t_SEMH_ss,pt_SEMH_ss,t_SLCN_ss,pt_SLCN_ss,t_SLD_ss,pt_SLD_ss,t_SPLD_ss,pt_SPLD_ss,t_VI_ss,pt_VI_ss,t_ASD_se,pt_ASD_se,t_HI_se,pt_HI_se,t_MLD_se,pt_MLD_se,t_MSI_se,pt_MSI_se,t_NSA_se,pt_NSA_se,t_OTH_se,pt_OTH_se,t_PD_se,pt_PD_se,t_PMLD_se,pt_PMLD_se,t_SEMH_se,pt_SEMH_se,t_SLCN_se,pt_SLCN_se,t_SLD_se,pt_SLD_se,t_SPLD_se,pt_SPLD_se,t_VI_se,pt_VI_se
202021,Academic year,National,E92000001,England,All pupils comparison,8342000,7035890,84.3,1306110,15.7,1002440,12,303670,3.6,70470,7,17070,1.7,203450,20.3,2810,0.3,42200,4.2,44590,4.4,22940,2.3,830,0.1,195290,19.5,245230,24.5,2630,0.3,145190,14.5,9730,1,92570,30.5,6150,2,31160,10.3,1020,0.3,0,0,7840,2.6,13720,4.5,9980,3.3,45190,14.9,49530,16.3,31300,10.3,11610,3.8,3600,1.2
202021,Academic year,National,E92000001,England,CIN at 31 March,219500,114940,52.4,104560,47.6,51200,23.3,53360,24.3,2040,4,400,0.8,9820,19.2,100,0.2,1740,3.4,1730,3.4,820,1.6,90,0.2,20220,39.5,9480,18.5,170,0.3,4300,8.4,310,0.6,13130,24.6,510,1,4270,8,160,0.3,0,0,1140,2.1,2840,5.3,4220,7.9,12770,23.9,4240,8,8460,15.9,1180,2.2,450,0.8
202021,Academic year,National,E92000001,England,CINO at 31 March,137250,71840,52.3,65410,47.7,28460,20.7,36950,26.9,1510,5.3,260,0.9,5450,19.2,70,0.2,1040,3.7,1000,3.5,550,1.9,70,0.2,10140,35.6,5550,19.5,110,0.4,2540,8.9,180,0.6,10880,29.4,380,1,2450,6.6,140,0.4,0,0,790,2.1,2500,6.8,3720,10.1,5270,14.3,2680,7.2,7080,19.1,720,1.9,360,1
202021,Academic year,National,E92000001,England,CPPO at 31 March,30290,18950,62.6,11340,37.4,8430,27.8,2910,9.6,250,2.9,50,0.6,1760,20.8,10,0.2,290,3.5,270,3.2,100,1.2,c,c,3180,37.7,1810,21.5,30,0.4,630,7.4,40,0.5,510,17.4,50,1.8,340,11.6,c,c,0,0,70,2.3,70,2.3,70,2.2,1050,35.9,420,14.3,230,8,100,3.3,20,0.8
202021,Academic year,National,E92000001,England,CLA at 31 March,52750,24520,46.5,28240,53.5,14510,27.5,13720,26,290,2,80,0.6,2640,18.2,20,0.1,420,2.9,470,3.2,170,1.2,20,0.1,6990,48.2,2140,14.8,40,0.3,1140,7.8,90,0.6,1760,12.8,90,0.6,1500,11,20,0.2,0,0,290,2.1,280,2,430,3.2,6570,47.9,1180,8.6,1170,8.5,360,2.7,70,0.5
202021,Academic year,National,E92000001,England,CLA 12 months at 31 March,42510,18780,44.2,23730,55.8,11580,27.2,12150,28.6,220,1.9,60,0.5,2080,18,20,0.1,330,2.9,390,3.3,150,1.3,10,0.1,5690,49.2,1580,13.7,30,0.2,940,8.1,70,0.6,1460,12,70,0.6,1370,11.3,20,0.2,0,0,250,2.1,230,1.9,390,3.2,5910,48.6,1050,8.6,1010,8.3,320,2.6,60,0.5
202021,Academic year,National,E92000001,England,CLA less than 12 months at 31 March,10240,5730,56,4510,44,2940,28.7,1570,15.3,70,2.2,20,0.8,560,18.9,c,c,80,2.8,80,2.9,30,0.9,c,c,1300,44.3,560,19.1,10,0.4,200,6.9,20,0.6,300,19.4,10,0.8,140,8.6,c,c,0,0,30,2.2,40,2.7,40,2.6,660,42,130,8.3,160,9.9,40,2.7,10,0.7
202021,Academic year,National,E92000001,England,CIN at any point,374010,217600,58.2,156400,41.8,85940,23,70470,18.8,3700,4.3,720,0.8,17100,19.9,160,0.2,3010,3.5,2950,3.4,1390,1.6,110,0.1,31940,37.2,16420,19.1,290,0.3,7640,8.9,520,0.6,17110,24.3,740,1,5960,8.5,190,0.3,0,0,1500,2.1,3560,5,4870,6.9,17670,25.1,6270,8.9,10340,14.7,1660,2.4,610,0.9
202021,Academic year,National,E92000001,England,CINO at any point,253960,150910,59.4,103050,40.6,53460,21,49590,19.5,2880,5.4,500,0.9,10780,20.2,110,0.2,1990,3.7,1930,3.6,1000,1.9,80,0.1,18100,33.9,10450,19.5,200,0.4,5110,9.6,340,0.6,14020,28.3,550,1.1,3660,7.4,170,0.3,0,0,1060,2.1,3100,6.3,4260,8.6,8470,17.1,4210,8.5,8500,17.1,1090,2.2,480,1
202021,Academic year,National,E92000001,England,CPPO at any point,59840,37830,63.2,22010,36.8,16210,27.1,5800,9.7,500,3.1,110,0.7,3380,20.9,30,0.2,560,3.4,490,3,190,1.2,10,0.1,6050,37.3,3490,21.5,50,0.3,1270,7.8,90,0.5,1020,17.5,90,1.6,640,11.1,c,c,0,0,120,2.1,150,2.5,120,2.1,2140,36.9,790,13.7,500,8.5,180,3.1,40,0.7
