time_period,time_identifier,geographic_level,country_code,country_name,social_care_group,t_pupils,t_no_identified_SEN,pt_no_identified_SEN,t_all_SEN,pt_all_SEN,t_SEN_support,pt_SEN_support,t_statement_or_EHC_plan,pt_statement_or_EHC_plan,t_ASD_ss,pt_ASD_ss,t_HI_ss,pt_HI_ss,t_MLD_ss,pt_MLD_ss,t_MSI_ss,pt_MSI_ss,t_NSA_ss,pt_NSA_ss,t_OTH_ss,pt_OTH_ss,t_PD_ss,pt_PD_ss,t_PMLD_ss,pt_PMLD_ss,t_SEMH_ss,pt_SEMH_ss,t_SLCN_ss,pt_SLCN_ss,t_SLD_ss,pt_SLD_ss,t_SPLD_ss,pt_SPLD_ss,t_VI_ss,pt_VI_ss,t_ASD_se,pt_ASD_se,t_HI_se,pt_HI_se,t_MLD_se,pt_MLD_se,t_MSI_se,pt_MSI_se,t_NSA_se,pt_NSA_se,t_OTH_se,pt_OTH_se,t_PD_se,pt_PD_se,t_PMLD_se,pt_PMLD_se,t_SEMH_se,pt_SEMH_se,t_SLCN_se,pt_SLCN_se,t_SLD_se,pt_SLD_se,t_SPLD_se,pt_SPLD_se,t_VI_se,pt_VI_se
201718,Academic year,National,E92000001,England,CIN at any point,402910,239460,59.4,163440,40.6,96140,23.9,67310,16.7,3500,3.6,830,0.9,21330,22.2,120,0.1,3420,3.6,3980,4.1,1690,1.8,200,0.2,34760,36.2,16840,17.5,430,0.4,8450,8.8,590,0.6,15920,23.6,820,1.2,6410,9.5,240,0.4,0,0,1420,2.1,4070,6.1,5610,8.3,13990,20.8,5100,7.6,11680,17.3,1420,2.1,630,0.9
201718,Academic year,National,E92000001,England,CINO at any point,282010,171100,60.7,110910,39.3,61370,21.8,49550,17.6,2780,4.5,620,1,13690,22.3,90,0.1,2250,3.7,2610,4.2,1270,2.1,160,0.3,20250,33,11180,18.2,310,0.5,5770,9.4,400,0.7,13300,26.8,640,1.3,4150,8.4,210,0.4,0,0,1020,2.1,3640,7.3,4940,10,6780,13.7,3580,7.2,9740,19.7,1010,2,530,1.1
201718,Academic year,National,E92000001,England,CPPO at any point,62280,39550,63.5,22730,36.5,17880,28.7,4850,7.8,430,2.4,130,0.7,4140,23.1,20,0.1,660,3.7,670,3.8,230,1.3,20,0.1,6700,37.5,3370,18.8,60,0.3,1370,7.7,90,0.5,740,15.2,80,1.7,650,13.4,10,0.2,0,0,110,2.3,160,3.3,130,2.8,1750,36,580,12,490,10.1,120,2.5,30,0.5
201718,Academic year,National,E92000001,England,CLA at any point,59130,29110,49.2,30020,50.8,17030,28.8,13000,22,300,1.7,80,0.5,3540,20.8,20,0.1,510,3,700,4.1,180,1.1,20,0.1,7880,46.3,2310,13.6,60,0.4,1320,7.7,90,0.6,1890,14.5,90,0.7,1620,12.5,30,0.2,0,0,290,2.2,280,2.2,540,4.2,5510,42.4,950,7.3,1460,11.2,290,2.2,70,0.5
201617,Academic year,National,E92000001,England,All pupils comparison,8084530,6922230,85.6,1162300,14.4,934350,11.6,227950,2.8,48200,5.2,15300,1.6,231800,24.8,2050,0.2,41440,4.4,49080,5.3,21210,2.3,1040,0.1,167670,17.9,205640,22,3320,0.4,138880,14.9,8720,0.9,61140,26.8,6000,2.6,28660,12.6,690,0.3,370,0.2,5800,2.5,12780,5.6,10050,4.4,29140,12.8,32440,14.2,29160,12.8,8480,3.7,3260,1.4
201617,Academic year,National,E92000001,England,CIN at 31 March,234100,124970,53.4,109120,46.6,57750,24.7,51370,21.9,1890,3.3,470,0.8,12960,22.4,80,0.1,1920,3.3,2490,4.3,1060,1.8,190,0.3,21770,37.7,9150,15.8,320,0.5,4820,8.4,350,0.6,10590,20.6,610,1.2,4490,8.7,200,0.4,60,0.1,900,1.7,3220,6.3,4920,9.6,7300,14.2,3200,6.2,9620,18.7,970,1.9,460,0.9
201617,Academic year,National,E92000001,England,CINO at 31 March,155600,83430,53.6,72170,46.4,34200,22,37970,24.4,1470,4.3,330,1,7630,22.3,60,0.2,1180,3.4,1450,4.2,790,2.3,160,0.5,11830,34.6,5780,16.9,230,0.7,2980,8.7,230,0.7,9250,24.4,490,1.3,2870,7.5,180,0.5,40,0.1,680,1.8,2940,7.8,4390,11.6,3360,8.9,2210,5.8,8240,21.7,660,1.7,390,1
201617,Academic year,National,E92000001,England,CPPO at 31 March,30770,19190,62.3,11590,37.7,9300,30.2,2290,7.5,180,1.9,70,0.8,2230,24,10,0.1,320,3.4,360,3.9,140,1.5,10,0.2,3500,37.6,1640,17.7,40,0.4,730,7.8,50,0.5,300,13.3,50,2.1,310,13.7,c,c,10,0.3,50,2.3,60,2.5,80,3.6,690,30.1,260,11.2,250,10.7,70,3.1,20,0.7
201617,Academic year,National,E92000001,England,CLA at 31 March,48490,22790,47,25700,53,14450,29.8,11250,23.2,240,1.6,70,0.5,3150,21.8,20,0.1,430,3,690,4.8,140,1,20,0.2,6530,45.2,1750,12.1,50,0.4,1130,7.8,70,0.5,1050,9.3,70,0.6,1330,11.9,20,0.2,20,0.2,170,1.5,220,2,460,4.1,3280,29.2,750,6.7,1150,10.2,240,2.2,60,0.5
201617,Academic year,National,E92000001,England,CLA 12 months at 31 March,36760,16290,44.3,20470,55.7,10780,29.3,9690,26.4,170,1.6,50,0.5,2400,22.3,10,0.1,320,2.9,570,5.3,110,1,20,0.2,4870,45.1,1170,10.9,40,0.4,880,8.2,60,0.5,840,8.7,60,0.6,1200,12.3,20,0.2,20,0.2,150,1.5,190,1.9,390,4.1,2840,29.4,640,6.6,990,10.2,200,2.1,50,0.5
201617,Academic year,National,E92000001,England,CLA less than 12 months at 31 March,11730,6490,55.4,5230,44.6,3670,31.3,1570,13.3,70,1.9,20,0.4,750,20.3,c,c,110,3.1,120,3.4,30,0.9,10,0.2,1660,45.3,580,15.9,10,0.4,240,6.6,20,0.5,210,13.3,20,1,140,8.9,c,c,c,c,20,1.3,30,2.1,60,4,440,27.9,110,7,160,10.5,40,2.6,10,0.4
201617,Academic year,National,E92000001,England,CIN at any point,399300,235560,59,163740,41,96720,24.2,67020,16.8,3380,3.5,870,0.9,22500,23.3,130,0.1,3280,3.4,4130,4.3,1790,1.9,230,0.2,34200,35.4,16110,16.7,480,0.5,8630,8.9,610,0.6,13530,20.2,920,1.4,6340,9.5,240,0.4,100,0.1,1210,1.8,4090,6.1,5720,8.5,10330,15.4,4670,7,11820,17.6,1370,2,620,0.9
201617,Academic year,National,E92000001,England,CINO at any point,281310,169180,60.1,112130,39.9,62300,22.1,49830,17.7,2720,4.4,640,1,14770,23.7,90,0.1,2160,3.5,2660,4.3,1370,2.2,190,0.3,20080,32.2,10830,17.4,360,0.6,5880,9.4,430,0.7,11670,23.4,740,1.5,4240,8.5,210,0.4,60,0.1,930,1.9,3710,7.4,5020,10.1,5420,10.9,3320,6.7,10040,20.1,980,2,520,1
201617,Academic year,National,E92000001,England,CPPO at any point,60230,38180,63.4,22050,36.6,17550,29.1,4500,7.5,360,2,140,0.8,4160,23.7,30,0.1,600,3.4,700,4,250,1.4,20,0.1,6480,36.9,3140,17.9,70,0.4,1460,8.3,100,0.6,620,13.7,90,1.9,640,14.2,10,0.1,20,0.4,90,1.9,130,2.9,160,3.4,1330,29.5,500,11.2,460,10.3,140,3,30,0.7
201617,Academic year,National,E92000001,England,CLA at any point,58550,28670,49,29890,51,17080,29.2,12810,21.9,290,1.7,100,0.6,3610,21.1,20,0.1,530,3.1,780,4.6,180,1,20,0.1,7740,45.3,2170,12.7,60,0.4,1310,7.7,80,0.5,1260,9.8,90,0.7,1480,11.5,20,0.2,20,0.2,200,1.5,250,2,550,4.3,3610,28.2,860,6.7,1330,10.4,260,2,70,0.5
