time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,setting_type,placements
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,811,Registered provider with UKPRN,1
202223,Academic year,Local authority,E92000001,England,E12000001,North East,E08000021,Newcastle upon Tyne,391,Education setting with URN,149
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E06000034,Thurrock,883,Other unregistered provider,1
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000028,Southwark,210,One on one tuition,105
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000029,Solihull,334,Education setting with URN,168
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000031,Wolverhampton,336,One on one tuition,7
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000018,Leicestershire,855,Other unregistered provider,42
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E10000003,Cambridgeshire,873,Education setting with URN,273
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E06000049,Cheshire East,895,Other unregistered provider,5
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000033,Calderdale,381,Work based placement,2
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E06000035,Medway,887,One on one tuition,68
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000022,Lambeth,208,Education setting with URN,142
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000014,York,816,Education setting with URN,15
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E10000031,Warwickshire,937,Registered provider with UKPRN,53
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000012,North East Lincolnshire,812,Other unregistered provider,2
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000012,Hackney,204,Other unregistered provider,1
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000010,Enfield,308,Education setting with URN,211
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000005,Brent,304,Other unregistered provider,150
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E06000007,Warrington,877,Non-maintained further education college,1
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000035,Leeds,383,Education setting with URN,266
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000028,Sandwell,333,Other unregistered provider,16
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000013,Hammersmith and Fulham,205,Registered provider with UKPRN,4
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000014,Sefton,343,Education setting with URN,203
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E06000043,Brighton and Hove,846,One on one tuition,7
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E06000020,Telford and Wrekin,894,Education setting with URN,93
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E10000028,Staffordshire,860,One on one tuition,54
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E06000007,Warrington,877,Education setting with URN,93
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E06000015,Derby,831,Non-maintained further education college,1
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000032,Wandsworth,212,One on one tuition,29
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000025,South Gloucestershire,803,One on one tuition,19
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000023,"Bristol, City of",801,Other unregistered provider,12
202223,Academic year,Local authority,E92000001,England,E12000001,North East,E08000037,Gateshead,390,Other unregistered provider,15
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E10000030,Surrey,936,Registered provider with UKPRN,51
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000011,Knowsley,340,Non-maintained further education college,116
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000010,Wigan,359,Other unregistered provider,22
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000058,"Bournemouth, Christchurch and Poole",839,Registered provider with UKPRN,24
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000026,Redbridge,317,Education setting with URN,67
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000029,Sutton,319,Work based placement,1
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000054,Wiltshire,865,Education setting with URN,268
202223,Academic year,Local authority,E92000001,England,E12000001,North East,E06000057,Northumberland,929,One on one tuition,30
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000008,Tameside,357,Education setting with URN,156
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000013,Hammersmith and Fulham,205,Other unregistered provider,2
202223,Academic year,Local authority,E92000001,England,E12000001,North East,E06000004,Stockton-on-Tees,808,Education setting with URN,131
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E06000055,Bedford,822,Registered provider with UKPRN,70
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E06000041,Wokingham,872,One on one tuition,2
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000011,Greenwich,203,Education setting with URN,134
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000052,Cornwall,908,Education setting with URN,271
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E10000016,Kent,886,One on one tuition,251
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000003,Barnet,302,Work based placement,2
202223,Academic year,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,Non-maintained further education college,1
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E06000036,Bracknell Forest,867,Other unregistered provider,2
