time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,setting_type,placements
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000028,Southwark,210,Total,310
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000028,Sandwell,333,Total,280
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E06000031,Peterborough,874,Total,117
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000019,Sheffield,373,Total,135
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000025,Newham,316,Total,117
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E06000017,Rutland,857,Total,32
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,811,Total,203
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E10000031,Warwickshire,937,Total,317
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000012,Hackney,204,Total,409
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000022,Bath and North East Somerset,800,Total,55
