time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,characteristic_grouping,pupil_characteristic,setting_type,pupils
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000020,Kensington and Chelsea,207,Age,5,Registered provider with UKPRN,2
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000026,Plymouth,879,Age,15,Other unregistered provider,28
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E10000008,Devon,878,Age,12,Other unregistered provider,11
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E10000014,Hampshire,850,Age,7,Other unregistered provider,5
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E10000023,North Yorkshire,815,Age,16,Other unregistered provider,1
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E10000029,Suffolk,935,Age,14,Registered provider with UKPRN,6
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000054,Wiltshire,865,Age,4,One on one tuition,1
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E10000008,Devon,878,Age,14,Education setting with URN,41
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E10000027,Somerset,933,Age,8,Other unregistered provider,5
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000018,Leicestershire,855,Age,9,One on one tuition,2
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000015,Wirral,344,Age,16,Registered provider with UKPRN,1
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E06000041,Wokingham,872,Age,14,Other unregistered provider,9
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E10000017,Lancashire,888,Age,11,One on one tuition,2
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000016,Havering,311,Age,14,Other unregistered provider,3
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E06000008,Blackburn with Darwen,889,Age,6,Education setting with URN,5
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000022,Bath and North East Somerset,800,Age,5,Education setting with URN,1
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000026,Coventry,331,Age,13,Education setting with URN,2
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E10000012,Essex,881,Age,7,Education setting with URN,7
