time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,characteristic_grouping,pupil_characteristic,setting_type,pupils
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000027,Dudley,332,Age,8,Education setting with URN,1
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000012,North East Lincolnshire,812,Age,6,Education setting with URN,5
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E10000031,Warwickshire,937,Age,14,Non-maintained further education college,5
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000054,Wiltshire,865,Age,11,Other unregistered provider,11
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000036,Wakefield,384,Age,13,Education setting with URN,12
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000058,"Bournemouth, Christchurch and Poole",839,Age,11,Other unregistered provider,2
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E06000051,Shropshire,893,Age,14,Registered provider with UKPRN,10
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E06000049,Cheshire East,895,Age,15,Education setting with URN,21
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000025,Birmingham,330,Age,14,Other unregistered provider,3
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000009,Trafford,358,Age,13,Other unregistered provider,2
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000035,Leeds,383,Age,7,Other unregistered provider,1
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000024,North Somerset,802,Age,13,Other unregistered provider,6
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000001,Bolton,350,Age,7,Education setting with URN,3
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000017,Doncaster,371,Age,14,One on one tuition,4
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E06000038,Reading,870,Age,9,Education setting with URN,1
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E10000015,Hertfordshire,919,Age,10,Registered provider with UKPRN,1
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E10000012,Essex,881,Age,8,Registered provider with UKPRN,1
202223,Academic year,Local authority,E92000001,England,E12000001,North East,E06000003,Redcar and Cleveland,807,Age,14,Education setting with URN,19
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E06000018,Nottingham,892,Age,15,Other unregistered provider,69
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000004,Bexley,303,Age,5,One on one tuition,1
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E10000015,Hertfordshire,919,Age,12,Other unregistered provider,3
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000028,Sandwell,333,Age,13,Registered provider with UKPRN,6
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000002,Bury,351,Age,8,Education setting with URN,1
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000018,Hounslow,313,Age,12,Education setting with URN,8
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E06000050,Cheshire West and Chester,896,Age,14,One on one tuition,5
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000023,Lewisham,209,Age,15,Non-maintained further education college,1
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E06000060,Buckinghamshire,825,Age,12,Registered provider with UKPRN,2
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000015,Wirral,344,Age,7,Education setting with URN,2
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000026,Plymouth,879,Age,12,One on one tuition,4
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000013,Hammersmith and Fulham,205,Age,5,Education setting with URN,1
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000001,Bolton,350,Age,5,Other unregistered provider,1
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000030,Swindon,866,Age,12,Registered provider with UKPRN,1
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000031,Wolverhampton,336,Age,14,Registered provider with UKPRN,3
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E10000012,Essex,881,Age,12,Non-maintained further education college,1
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E10000006,Cumbria,909,Age,15,Work based placement,4
202223,Academic year,Local authority,E92000001,England,E12000001,North East,E06000005,Darlington,841,Age,12,Education setting with URN,3
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000009,Trafford,358,Age,14,Education setting with URN,19
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000036,Wakefield,384,Age,13,Other unregistered provider,12
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E06000060,Buckinghamshire,825,Age,12,Education setting with URN,20
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000025,South Gloucestershire,803,Age,8,One on one tuition,1
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000023,"Bristol, City of",801,Age,9,Other unregistered provider,5
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E06000019,"Herefordshire, County of",884,Age,15,One on one tuition,2
202223,Academic year,Local authority,E92000001,England,E12000001,North East,E08000022,North Tyneside,392,Age,14,Other unregistered provider,1
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E06000031,Peterborough,874,Age,15,Registered provider with UKPRN,4
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000054,Wiltshire,865,Age,11,Registered provider with UKPRN,5
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000019,Sheffield,373,Age,14,Registered provider with UKPRN,4
202223,Academic year,Local authority,E92000001,England,E12000001,North East,E08000037,Gateshead,390,Age,15,Registered provider with UKPRN,3
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E10000029,Suffolk,935,Age,15,Work based placement,16
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E10000003,Cambridgeshire,873,Age,7,One on one tuition,2
