time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,num_schools,enrolments,sess_possible,sess_overall,sess_authorised,sess_unauthorised,sess_overall_percent,sess_authorised_percent,sess_unauthorised_percent,enrolments_pa_10_exact,enrolments_pa_10_exact_percent,enrolments_pa_50_exact,enrolments_pa_50_exact_percent,sess_auth_illness,sess_auth_appointments,sess_auth_religious,sess_auth_study,sess_auth_traveller,sess_auth_holiday,sess_auth_ext_holiday,sess_auth_excluded,sess_auth_other,sess_auth_totalreasons,sess_unauth_holiday,sess_unauth_late,sess_unauth_other,sess_unauth_noyet,sess_unauth_totalreasons,sess_overall_totalreasons,sess_x_covid,sess_y_exceptional
201314,Autumn and spring term,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,1,140,23532,5855,2039,3816,24.88101,8.6648,16.21622,92,65.71429,z,z,1144,178,2,21,0,32,z,277,385,2039,10,5,3729,72,3816,5855,0,0
201314,Autumn and spring term,Local authority,E92000001,England,E13000002,Outer London,306,E09000008,Croydon,5,507,72771,27953,15104,12849,38.41228,20.75552,17.65676,403,79.48718,z,z,2591,716,9,6,0,75,z,991,10716,15104,10,1377,11383,79,12849,27953,0,0
201314,Autumn and spring term,Local authority,E92000001,England,E13000002,Outer London,319,E09000029,Sutton,2,204,31456,11959,5142,6817,38.01818,16.34664,21.67154,181,88.72549,z,z,1639,291,1,0,0,10,z,613,2588,5142,62,705,6049,1,6817,11959,0,0
201314,Autumn and spring term,Regional,E92000001,England,E12000009,South West,,,,34,3727,472410,151997,106864,45133,32.17481,22.62103,9.55378,2558,68.63429,z,z,23648,3162,12,46,42,398,z,4411,75145,106864,273,1940,41629,1291,45133,151997,0,0
201415,Autumn and spring term,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,1,41,5642,1442,639,803,25.55831,11.32577,14.23254,21,51.21951,z,z,248,40,0,0,0,0,z,67,284,639,10,0,792,1,803,1442,0,0
201415,Autumn and spring term,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,1,136,24083,2256,790,1466,9.3676,3.28032,6.08728,32,23.52941,z,z,471,63,0,0,0,8,z,0,248,790,0,0,1458,8,1466,2256,0,0
201415,Autumn and spring term,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,2,267,47677,19765,11337,8428,41.45605,23.77876,17.67729,218,81.64794,z,z,2697,284,0,0,0,17,z,405,7934,11337,126,0,8281,21,8428,19765,0,0
201415,Autumn and spring term,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,1,128,19588,6248,4678,1570,31.89708,23.88197,8.01511,86,67.1875,z,z,0,0,0,0,0,0,z,0,0,0,0,0,0,0,0,0,0,0
201415,Autumn and spring term,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,3,361,51179,14443,5829,8614,28.22056,11.38944,16.83112,207,57.34072,z,z,2184,648,0,10,0,17,z,416,2106,5381,66,3,5465,2103,7637,13018,0,0
201415,Autumn and spring term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,E08000035,Leeds,4,240,35683,9521,4095,5426,26.68217,11.47605,15.20612,155,64.58333,z,z,1876,201,2,0,0,6,z,351,1659,4095,10,34,5127,255,5426,9521,0,0
201415,Autumn and spring term,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,2,251,21626,3315,1098,2217,15.32877,5.07722,10.25155,97,38.64542,z,z,504,61,2,0,0,8,z,18,505,1098,0,36,2181,0,2217,3315,0,0
201415,Autumn and spring term,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,1,37,6115,1274,581,693,20.83401,9.50123,11.33279,23,62.16216,z,z,254,68,0,0,0,0,z,0,259,581,24,0,669,0,693,1274,0,0
201415,Autumn and spring term,Local authority,E92000001,England,E12000004,East Midlands,928,E10000021,Northamptonshire,2,358,49157,8377,7837,540,17.04132,15.9428,1.09852,168,46.92737,z,z,268,829,0,0,0,6,z,0,424,1527,0,0,279,0,279,1806,0,0
201415,Autumn and spring term,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,2,184,22250,8615,7281,1334,38.7191,32.7236,5.99551,166,90.21739,z,z,1318,300,1,0,0,0,z,98,5564,7281,3,224,1106,1,1334,8615,0,0
201415,Autumn and spring term,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,3,346,52284,16935,12337,4598,32.39041,23.59613,8.79428,251,72.54335,z,z,2841,534,4,20,11,50,z,596,8281,12337,64,40,4494,0,4598,16935,0,0
201415,Autumn and spring term,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,2,143,27700,9994,2991,7003,36.07942,10.79783,25.28159,112,78.32168,z,z,1089,232,0,0,0,0,z,212,1458,2991,28,66,6892,17,7003,9994,0,0
201415,Autumn and spring term,Local authority,E92000001,England,E12000008,South East,825,E10000002,Buckinghamshire,3,425,36435,7509,4221,3288,20.6093,11.58501,9.02429,238,56,z,z,1538,156,2,0,0,62,z,335,2128,4221,56,1,3213,18,3288,7509,0,0
201415,Autumn and spring term,Local authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,1,62,9355,3841,2901,940,41.05826,31.01015,10.0481,55,88.70968,z,z,248,105,0,11,0,0,z,575,1962,2901,10,86,844,0,940,3841,0,0
201415,Autumn and spring term,Local authority,E92000001,England,E12000009,South West,878,E10000008,Devon,5,418,22548,5219,3492,1727,23.14618,15.48696,7.65922,238,56.9378,z,z,1809,232,0,0,0,23,z,266,1162,3492,6,365,1355,1,1727,5219,0,0
201415,Autumn and spring term,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,4,92,17532,4177,1401,2776,23.82501,7.9911,15.8339,62,67.3913,z,z,770,76,4,0,0,1,z,201,349,1401,10,936,1653,177,2776,4177,0,0
201415,Autumn and spring term,Local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,3,197,38148,5364,2432,2932,14.06103,6.37517,7.68586,88,44.67005,z,z,1254,151,10,0,0,27,z,174,816,2432,47,140,2690,55,2932,5364,0,0
201415,Autumn and spring term,Local authority,E92000001,England,E13000001,Inner London,206,E09000019,Islington,4,140,24260,8566,3534,5032,35.30915,14.56719,20.74196,103,73.57143,z,z,1151,166,0,0,0,32,z,694,1491,3534,16,785,4222,9,5032,8566,0,0
201415,Autumn and spring term,Local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,1,79,15188,1327,516,811,8.73716,3.39742,5.33974,25,31.64557,z,z,252,43,2,0,0,0,z,79,140,516,16,0,795,0,811,1327,0,0
201415,Autumn and spring term,Local authority,E92000001,England,E13000002,Outer London,303,E09000004,Bexley,1,214,37194,8212,2782,5430,22.07883,7.4797,14.59913,141,65.88785,z,z,1700,326,0,0,0,12,z,539,205,2782,186,57,5187,0,5430,8212,0,0
201415,Autumn and spring term,Local authority,E92000001,England,E13000002,Outer London,312,E09000017,Hillingdon,1,162,19748,4858,2324,2534,24.59996,11.76828,12.83168,88,54.32099,z,z,828,99,0,0,0,0,z,132,1265,2324,0,370,2125,39,2534,4858,0,0
201415,Autumn and spring term,Local authority,E92000001,England,E13000002,Outer London,319,E09000029,Sutton,2,186,29899,10073,5674,4399,33.69009,18.97722,14.71287,149,80.10753,z,z,1530,245,0,0,0,0,z,408,3491,5674,54,795,3549,1,4399,10073,0,0
201415,Autumn and spring term,Regional,E92000001,England,E13000001,Inner London,,,,28,2635,361964,91712,33302,58410,25.33733,9.20036,16.13696,1572,59.65844,z,z,13072,2442,32,467,0,148,z,4344,12238,32743,267,3943,52797,821,57828,90571,0,0
201516,Autumn and spring term,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,1,169,24878,11531,7320,4211,46.35019,29.42359,16.9266,142,84.02367,z,z,1940,219,0,2,0,0,z,181,4978,7320,16,347,3846,2,4211,11531,0,0
201516,Autumn and spring term,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,3,202,30723,9707,4295,5412,31.59522,13.97975,17.61547,154,76.23762,z,z,1367,298,0,0,0,14,z,515,2101,4295,39,141,5203,29,5412,9707,0,0
201516,Autumn and spring term,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,1,165,24399,2115,635,1480,8.66839,2.60257,6.06582,38,23.0303,z,z,388,53,0,0,0,10,z,0,184,635,0,0,1476,4,1480,2115,0,0
201516,Autumn and spring term,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,1,75,10039,2798,1174,1624,27.8713,11.69439,16.17691,53,70.66667,z,z,426,95,0,0,0,0,z,63,590,1174,12,92,1520,0,1624,2798,0,0
201516,Autumn and spring term,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,1,140,27460,6068,2613,3455,22.0976,9.51566,12.58194,91,65,z,z,703,169,0,0,0,0,z,161,1580,2613,88,22,2595,750,3455,6068,0,0
201516,Autumn and spring term,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,1,166,26001,13545,5898,7647,52.09415,22.68374,29.41041,156,93.9759,z,z,884,98,2,0,0,0,z,1111,3803,5898,13,494,5168,1972,7647,13545,0,0
201516,Autumn and spring term,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,2,144,18178,7359,5526,1833,40.483,30.39938,10.08362,105,72.91667,z,z,1204,102,1,0,0,20,z,60,4139,5526,0,12,1819,2,1833,7359,0,0
